,open,high,low,close,volume,value
2024-03-31 09:00:00,891.3,898.0,889.6,891.5,107831679.61633763,96245327729.23743
2024-04-01 09:00:00,891.6,897.0,862.0,878.5,255009054.08849183,223940945725.60233
2024-04-02 09:00:00,878.6,889.7,850.1,859.4,338605446.7848907,292929207728.75775
2024-04-03 09:00:00,859.3,863.3,832.2,839.0,268018238.15825343,227508400147.4487
2024-04-04 09:00:00,839.0,893.3,825.2,862.0,416313703.41232663,357803090318.39233
2024-04-05 09:00:00,862.0,862.7,833.0,851.6,206166357.15931976,174681612866.6407
2024-04-06 09:00:00,851.4,862.0,847.6,853.6,93972742.78273307,80195276125.83768
2024-04-07 09:00:00,853.6,862.8,849.6,851.9,97940385.9627516,83765996613.31071
2024-04-08 09:00:00,851.9,889.1,844.0,875.7,276046986.7754154,239072458955.84427
2024-04-09 09:00:00,875.8,914.6,860.6,883.0,432735763.90504116,384309913442.71967
2024-04-10 09:00:00,882.7,888.7,860.0,880.7,228301996.85334176,199902362238.7453
2024-04-11 09:00:00,880.7,884.8,868.3,873.3,153365523.06935778,134561343514.13574
2024-04-12 09:00:00,873.3,878.7,782.5,812.9,416311243.6266685,346636576864.44745
2024-04-13 09:00:00,813.0,814.4,671.1,725.7,666781707.445392,498457402019.5429
2024-04-14 09:00:00,725.7,766.2,707.0,757.9,415850571.60955995,304713883389.1944
2024-04-15 09:00:00,757.9,774.0,734.0,756.6,350996149.4628362,264917233250.05093
2024-04-16 09:00:00,756.5,757.4,719.9,743.5,279394690.9364858,206601189418.7223
2024-04-17 09:00:00,743.9,757.0,711.3,738.8,290021337.0639872,213322180873.58334
2024-04-18 09:00:00,738.8,743.0,719.0,739.5,235396364.99339908,172418923693.47333
2024-04-19 09:00:00,739.5,746.9,692.2,734.8,361182159.15133923,260620112105.46786
2024-04-20 09:00:00,734.8,774.0,731.0,772.0,211466223.60909432,159948660079.64227
2024-04-21 09:00:00,772.0,785.0,760.2,765.9,151661987.02119437,117129555376.16934
2024-04-22 09:00:00,765.9,829.0,762.5,807.8,227663622.73491392,179942079587.3826
2024-04-23 09:00:00,807.8,811.8,784.8,788.7,216361785.6289131,171935988972.36008
2024-04-24 09:00:00,788.7,795.2,760.2,766.9,211955289.90998384,165242258032.78323
2024-04-25 09:00:00,766.8,772.6,743.8,754.9,161591172.24814284,122301475025.90594
2024-04-26 09:00:00,755.1,768.7,741.5,758.5,139524672.63842404,105313465812.31068
2024-04-27 09:00:00,758.5,758.9,736.1,746.7,100452421.09880953,74829736080.2174
